query,correct
can doi von du an,cân đối vốn dự án
dau tu he thong phong chay chua chay,đầu tư hệ thống phòng cháy chữa cháy
day van hoa day nghe,dạy văn hóa dạy nghề
trung tam giao duc thuong xuyen,trung tâm giáo dục thường xuyên
cham dut hop dong,chấm dứt hợp đồng
cai tao to chuc giao thong,cải tạo tổ chức giao thông
kinh phi tro cap thoi viec,kinh phí trợ cấp thôi việc
so tu phap,sở tư pháp
hoi van hoc nghe thuat,hội văn học nghệ thuật
ho gia dinh,hộ gia đình
can ho chung cu,căn hộ chung cư
khu dan cu,khu dân cư
du an khu nha o,dự án khu nhà ở
thanh toan kinh phi,thanh toán kinh phí
du toan kinh phi,dự toán kinh phí
kinh phi chi tro cap,kinh phí chi trợ cấp
ho so dia chinh,hồ sơ địa chính
giao thong quoc lo 1,giao thông quốc lộ 1
xay dung duong song hanh cao toc,xây dựng đường song hành cao tốc
dich vu hanh chinh cong,dịch vụ hành chính công
bao ve ket cau ha tang giao thong duong bo,bảo vệ kết cấu hạ tầng giao thông đường bộ
du an cai tao thay the thiet bi tram 500kv,dự án cải tạo thay thế thiết bị trạm 500kv
so sach ke toan,sổ sách kế toán
gia tri tai san co dinh,giá trị tài sản cố định
tang von dieu le cua quy phat trien nha o,tăng vốn điều lệ của quỹ phát triển nhà ở
quy phat trien nha o,quỹ phát triển nhà ở
tai dinh cu,tái định cư
boi thuong giai phong mat bang,bồi thường giải phóng mặt bằng
phong canh sat phong chay chua chay,phòng cảnh sát phòng cháy chữa cháy
tham dinh gia dat,thẩm định giá đất
don xin thu hoi dat,đơn xin thu hồi đất
cong ty co phan dau tu,công ty cổ phần đầu tư
thong tin va truyen thong,thông tin và truyền thông
muc tieu quoc gia,mục tiêu quốc gia
giam ngheo ben vung giai doan 2016-2020,giảm nghèo bền vững giai đoạn 2016-2020
cong tac lua chon nha thau,công tác lựa chọn nhà thầu
giai xe dap toan quoc,giải xe đạp toàn quốc
ho so nha dat,hồ sơ nhà đất
xay dung nong thon moi,xây dựng nông thôn mới
ho tro lai suat,hỗ trợ lãi suất
giai quyet khieu nai to cao,giải quyết khiếu nại tố cáo
quy dinh quan ly tai chinh,quy định quản lý tài chính
du thao nghi dinh,dự thảo nghị định
nghi dinh so 93/2009/nd-cp,nghị định số 93/2009/nđ-cp
cac du an co van dong dan hien dat,các dự án có vận động dân hiến đất
cong trinh dich vu,công trình dịch vụ
tien ich cong cong,tiện ích công cộng
cham quyet toan von dau tu,chậm quyết toán vốn đầu tư
du an su dung von ngan sach nha nuoc,dự án sử dụng vốn ngân sách nhà nước
tong cong ty co khi giao thong van tai,tổng công ty cơ khí giao thông vận tải
sua doi bo sung cac quy dinh lien quan den dat dai xay dung nha o dau tu va kinh doanh,sửa đổi bổ sung các quy định liên quan đến đất đai xây dựng nhà ở đầu tư và kinh doanh
ngay hoi quoc phong toan dan,ngày hội quốc phòng toàn dân
giai quyet tranh chap khieu nai,giải quyết tranh chấp khiếu nại
ke hoach phan bo von thanh toan cac goi thau,kế hoạch phân bổ vốn thanh toán các gói thầu
cai tao he thong thoat nuoc,cải tạo hệ thống thoát nước
nghi dinh ve quan ly hoat dong hang hai,nghị định về quản lý hoạt động hàng hải
cap giay phep cho xe cham soc cong vien cay xanh,cấp giấy phép cho xe chăm sóc công viên cây xanh
trung tam quan ly duong ham song sai gon,trung tâm quản lý đường hầm sông sài gòn
sua chua nang cap cau nhi thien duong 1,sửa chữa nâng cấp cầu nhị thiên đường 1
han che phuong tien giao thong thuy,hạn chế phương tiện giao thông thủy
ke hoach dau tu cong nam 2017,kế hoạch đầu tư công năm 2017
dieu kien kinh doanh khai thac cang bien,điều kiện kinh doanh khai thác cảng biển
chuong trinh huy dong von,chương trình huy động vốn
truong mam non cong lap,trường mâm non công lập
nguoi nop thue khong hoat dong tai dia chi da dang ky,người nộp thuế không hoạt động tại địa chỉ đã đăng ký
anh muc cac du an dau tu cong trung han giai doan 2016-2020,anh mục các dự án đầu tư công trung hạn giai đoạn 2016-2020
ke khai bo sung,kê khai bổ sung
phuong an xu ly nha dat tai so 70 duong nguyen tat thanh,phương án xử lý nhà đất tại số 70 đường nguyễn tất thành
gan moi dong ho nuoc,gắn mới đồng hồ nước
chuyen dich co cau nong nghiep,chuyển dịch cơ cấu nông nghiệp
nong nghiep do thi,nông nghiệp đô thị
tai co cau nganh nong nghiep,tái cơ cấu ngành nông nghiệp
uy quyen cung cap thong tin truyen hinh,ủy quyền cung cấp thông tin truyền hình
van phong cong chung,văn phòng công chứng
bao cao tinh hinh dich benh sot xuat huyet,báo cáo tình hình dịch bệnh sốt xuất huyết
tiep nhan khoan vien tro phi du an,tiếp nhận khoản viện trợ phi dự án
xay dung cau vuot,xây dựng cầu vượt
he thong xu ly nuoc thai tai benh vien huyen can gio,hệ thống xử lý nước thải tại bệnh viện huyện cần giờ
trien khai nghi dinh so 145/2016/nd-cp,triển khai nghị định số 145/2016/nđ-cp
bao cao ket qua cong tac to chuc nha nuoc nam 2016,báo cáo kết quả công tác tổ chức nhà nước năm 2016
lan chiem dat,lấn chiếm đất
phuong an xu ly nha dat,phương án xử lý nhà đất
sua chua dam bao giao thong quoc lo 1,sửa chữa đảm bảo giao thông quốc lộ 1
trung tam thuc hanh cho nguoi khuyet tat va tre mo coi,trung tâm thực hành cho người khuyết tật và trẻ mồ côi
nguoi khuyet tat,người khuyết tật
tre mo coi,trẻ mồ côi
dieu kien boi thuong,điều kiện bồi thường
dai lo dong tay,đại lộ đông tây
khai thac khoang san,khai thác khoáng sản
tien do boi thuong,tiến độ bồi thường
ho tro tai dinh cu cua cac du an tren dia ban thanh pho,hỗ trợ tái định cư của các dự án trên địa bàn thành phố
hop tac xa,hợp tác xã
can bo cong nhan vien,cán bộ công nhân viên
phe duyet don gia dat,phê duyệt đơn giá đất
boi thuong giai phong mat bang,bồi thường giải phóng mặt bằng
tinh lo 8,tỉnh lộ 8
pho bien giao duc phap luat,phổ biến giáo dục pháp luật
kiem tra xu ly vi pham moi truong,kiểm tra xử lý vi phạm môi trường
xu ly nuoc ngam,xử lý nước ngầm
chung nhan dang ky the chap,chứng nhận đăng ký thế chấp
tap ket rac vat lieu xay dung,tập kết rác vật liệu xây dựng
thue bao ve moi truong,thuế bảo vệ môi trường
khu cong nghe cao,khu công nghệ cao
trung tam logistics,trung tâm logistics
du an khu cong nghe cao,dự án khu công nghệ cao
khu do thi moi thu thiem,khu đô thị mới thủ thiêm
van phong chinh phu,văn phòng chính phủ
bao cao ra soat sap xep co so giao duc nghe nghiep,báo cáo rà soát sắp xếp cơ sở giáo dục nghề nghiệp
nguon von uy quyen,nguồn vốn ủy quyền
danh muc cac cong trinh su dung nguon von uy quyen nam 2017,danh mục các công trình sử dụng nguồn vốn ủy quyền năm 2017
cung cap thong tin nha dat,cung cấp thông tin nhà đất
dau tu nang cap va van hanh cac tram y te,đầu tư nâng cấp và vận hành các trạm y tế
phuong tien chua co gia tinh le phi truoc ba,phương tiện chưa có giá tính lệ phí trước bạ
cong trinh duong sat do thi thanh pho ho chi minh,công trình đường sắt đô thị thành phố hồ chí minh
du an cai thien moi truong nuoc,dự án cải thiện môi trường nước
du an cai thien he thong thoat nuoc,dự án cải thiện hệ thống thoát nước
du an tai dinh cu giai phong mat bang,dự án tái định cư giải phóng mặt bằng
bao cao ve chi tieu quy hoach kien truc,báo cáo về chỉ tiêu quy hoạch kiến trúc
du an dau tu xay dung khu nha o,dự án đầu tư xây dựng khu nhà ở
truong trung hoc co so,trường trung học cơ sở
truong trung hoc pho thong,trường trung học phổ thông
ban dau gia quyen mua co phieu,bán đấu giá quyền mua cổ phiếu
chuc nang su dung dat,chức năng sử dụng đất
chi tieu quy hoach kien truc,chỉ tiêu quy hoạch kiến trúc
ho so thiet ke co so hang muc ha tang ky thuat,hồ sơ thiết kế cơ sở hạng mục hạ tầng kỹ thuật
hang muc ha tang ky thuat,hạng mục hạ tầng kỹ thuật
cac phuong an kien truc cau bo hanh tren dia ban thanh pho,các phương án kiến trúc cầu bộ hành trên địa bàn thành phố
cap chung chi quy hoach,cấp chứng chỉ quy hoạch
cong thong tin dien tu thanh pho,cổng thông tin điện tử thành phố
du an xay dung tru so so khoa hoc va cong nghe,dự án xây dựng trụ sở sở khoa học và công nghệ
do tim xu ly bom min vat no,dò tìm xử lý bom mìn vật nổ
de xuat duoc la nha thau thi cong,đề xuất được là nhà thầu thi công
lap dat dai phan cach be tong,lắp đặt dải phân cách bê tông
phat trien he thong cang can,phát triển hệ thống cảng cạn
ket luan thanh tra mua sam trang thiet bi,kết luận thanh tra mua sắm trang thiết bị
dau tu tong the du an chinh trang khu vuc chung cu,đầu tư tổng thể dự án chỉnh trang khu vực chung cư
kinh phi dam bao trat tu an toan giao thong nam 2016,kinh phí đảm bảo trật tự an toàn giao thông năm 2016
mat an toan giao thong trong qua trinh thi cong cong trinh,mất an toàn giao thông trong quá trình thi công công trình
muc luong cong nhat,mức lương công nhật
hoi khoa hoc ky thuat co khi thanh pho ho chi minh,hội khoa học kỹ thuật cơ khí thành phố hồ chí minh
khieu nai ve huy ket qua dau thau sai nguyen tac,khiếu nại về hủy kết quả đấu thầu sai nguyên tắc
xin su dung khu dat,xin sử dụng khu đất
thu hoi no thue,thu hồi nợ thuế
xay dung cong trinh phu tro,xây dựng công trình phụ trợ
xu ly cac ton tai trong qua trinh tai lap mat duong,xử lý các tồn tại trong quá trình tái lập mặt đường
viec xin phep tien hanh nghien cuu,việc xin phép tiến hành nghiên cứu
huong dan nop ho so,hướng dẫn nộp hồ sơ
phe duyet de an thanh lap trung tam giam ngheo da chieu,phê duyệt đề án thành lập trung tâm giảm nghèo đa chiều
danh muc cac du an can thu hoi dat,danh mục các dự án cần thu hồi đất
danh muc du an co su dung dat lua dat rung,danh mục dự án có sử dụng đất lúa đất rừng
chuyen hinh thuc su dung dat sang thue dat tra tien mot lan,chuyển hình thức sử dụng đất sang thuê đất trả tiền một lần
xay dung he thong cong bao va nha may xu ly nuoc thai tap trung,xây dựng hệ thống cống bao và nhà máy xử lý nước thải tập trung
de nghi giao dat de su dung vao muc dich quoc phong,đề nghị giao đất để sử dụng vào mục đích quốc phòng
bo tu lenh thong tin lien lac,bộ tư lệnh thông tin liên lạc
chuyen muc dich su dung dat,chuyển mục đích sử dụng đất
cap giay phep quy hoach doi voi khu dat so 8/6,cấp giấy phép quy hoạch đối với khu đất số 8/6
can doi doi quy nha dat,cân đối đối quỹ nhà đất
bo tri tai dinh cu,bố trí tái định cư
cap phep thi cong giai doan 1,cấp phép thi công giai đoạn 1
chinh sach ho tro lai vay theo quyet dinh so 04/2016/qd-ubnd ngay 23/02/2016,chính sách hỗ trợ lãi vay theo quyết định số 04/2016/qđ-ubnd ngày 23/02/2016
dao tao nghe cho lao dong nong thon,đào tạo nghề cho lao động nông thôn
thuc hien du an giai quyet ngap do trieu,thực hiện dự án giải quyết ngập do triều
khac phuc tinh hinh sat lo bo song,khắc phục tình hình sạt lở bờ sông
su dung von vay oda khong hoan lai cua chinh phu han quoc,sử dụng vốn vay oda không hoàn lại của chính phủ hàn quốc
ket qua tham tra danh sach tinh gian bien che,kết quả thẩm tra danh sách tinh giản biên chế
thong bao bo dia chi kinh doanh,thông báo bỏ địa chỉ kinh doanh
bao cao thong ke tong hop nganh giao thong van tai nam 2016,báo cáo thống kê tổng hợp ngành giao thông vận tải năm 2016
bao cao tong ket cong tac thanh tra kiem tra,báo cáo tổng kết công tác thanh tra kiểm tra
bao cao cong tac tiep dan khieu nai to cao va phong chong tham nhung nam 2016,báo cáo công tác tiếp dân khiếu nại tố cáo và phòng chống tham nhũng năm 2016
cong tac xay dung quy hoach phat trien nganh thuong mai,công tác xây dựng quy hoạch phát triển ngành thương mại
thuc hien nghia vu tai chinh,thực hiện nghĩa vụ tài chính
cong tac kiem dinh cong trinh,công tác kiểm định công trình
de nghi chap thuan chu truong dau tu,đề nghị chấp thuận chủ trương đầu tư
cong nhan chu dau tu du an khu phuc hop thuong mai dich vu van phong can ho,công nhận chủ đầu tư dự án khu phức hợp thương mại dịch vụ văn phòng căn hộ
cong ty co phan dau tu va xay dung 40,công ty cổ phần đầu tư và xây dựng 40
chuyen giao chu dau tu du an,chuyển giao chủ đầu tư dự án
khau tru tien boi thuong,khấu trừ tiền bồi thường
kinh doanh xang dau tren dia ban thanh pho,kinh doanh xăng dầu trên địa bàn thành phố
ban giao du toan ngan sach nha nuoc nam 2017,bàn giao dự toán ngân sách nhà nước năm 2017
he so su dung dat,hệ số sử dụng đất
to trinh du thao quyet dinh bo nhiem,tờ trình dự thảo quyết định bổ nhiệm
chuyen giao cong nghe,chuyển giao công nghệ
trien khai ung dung cong nghe thong tin,triển khai ứng dụng công nghệ thông tin
bao cao ke hoach thi cong cong trinh,báo cáo kế hoạch thi công công trình
phuong an thoai von cua tong cong ty van hoa sai gon,phương án thoái vốn của tổng công ty văn hóa sài gòn
chap thuan chu truong dau tu,chấp thuận chủ trương đầu tư
dieu chinh chi tieu quy hoach kien truc,điều chỉnh chỉ tiêu quy hoạch kiến trúc
sua chua nang cap duong,sửa chữa nâng cấp đường
ho so de nghi cap giay phep kinh doanh,hồ sơ đề nghị cấp giấy phép kinh doanh
de xuat cap phep thi cong cong trinh,đề xuất cấp phép thi công công trình
an toan ve sinh lao dong,an toàn vệ sinh lao động
phuc dap phan anh cua bao nguoi lao dong,phúc đáp phản ánh của báo người lao động
dich vu cong ich thanh nien xung phong,dịch vụ công ích thanh niên xung phong
quy che quan ly tai chinh,quy chế quản lý tài chính
bao cao cong tac dan van cua co quan hanh chinh nha nuoc,báo cáo công tác dân vận của cơ quan hành chính nhà nước
co so ton giao,cơ sở tôn giáo
bo tu lenh thanh pho,bộ tư lệnh thành phố
cong nhan quyen su dung dat ton giao,công nhận quyền sử dụng đất tôn giáo
kiem tra giam sat cong tac gia dinh nam 2016,kiểm tra giám sát công tác gia đình năm 2016
dinh chi giai quyet khieu nai,đình chỉ giải quyết khiếu nại
bo sung du toan nam 2016,bổ sung dự toán năm 2016
cong tac thanh nien nam 2016,công tác thanh niên năm 2016
