query,correct
chương trình thí điểm phân loại vhất thải rắn,chương trình thí điểm phân loại chất thải rắn
các tuyến đường sắt đô thị,các tuyến đường sắt đô thị
qy hoạch kiến trúc,quy hoạch kiến trúc
sự coố hạ tầng kyỹ thuật giao thông,sự cố hạ tầng kỹ thuật giao thông
tài ản nhà nước,tài sản nhà nước
hội ngươwfi mù,hội người mù
phòng tránh ứng phó với áp thấp nhiejt đớii,phòng tránh ứng phó với áp thấp nhiệt đới
phươny tiện giao thông,phương tiện giao thông
ứng phó ới biến đổi khí hậu,ứng phó với biến đổi khí hậu
người oạt động kháng chiếnn bị nhiễm chất độc hóa học,người hoạt động kháng chiến bị nhiễm chất độc hóa học
hỗ trợ chi trợ cấsp,hỗ trợ chi trợ cấp
hội liên hiệp phụ nữ thành phló,hội liên hiệp phụ nữ thành phố
khu liên hợp xuử lý chất thải,khu liên hợp xử lý chất thải
chuẩn bị hồ sơ tố tuụng,chuẩn bị hồ sơ tố tụng
phân bổ vôn đầu tư,phân bổ vốn đầu tư
công trình cấp nưwsc sinh hoạt,công trình cấp nước sinh hoạt
nông nhiệp công nghệ cao,nông nghiệp công nghệ cao
luồn giao thông thủy,luồng giao thông thủy
truy tặngg eanh hiệu vinh dự nhà nước,truy tặng danh hiệu vinh dự nhà nước
hồ sơ sử dụnng nguồn kinb phí dự phòng,hồ sơ sử dụng nguồn kinh phí dự phòng
thực hiwẹn gói thầu kiểm toán,thực hiện gói thầu kiểm toán
qy hoạch chi tiết xây dựng đô thịj,quy hoạch chi tiết xây dựng đô thị
cụm công ghiệp,cụm công nghiệp
quá cảnh hải quan,quá cảnh hải quan
quản lye cán bộ công chức viên chusc,quản lý cán bộ công chức viên chức
sở văn hóa và thể tho,sở văn hóa và thể thao
sửa chữa tài sản,sửa chữa tài sản
bán nhà ở cũ thuộ sở huữu nhà nước,bán nhà ở cũ thuộc sở hữu nhà nước
quy định thủ tục hànnh chính,quy định thủ tục hành chính
tổ chức giao thông phục bụ thi cônng,tổ chức giao thông phục vụ thi công
giwri pháp chống ngập,giải pháp chống ngập
công tác thu hồi khu đấtt,công tác thu hồi khu đất
kinh doanh vận tảihành khách,kinh doanh vận tải hành khách
dự tián bồi thường,dự toán bồi thường
giấy xác nhận hoàn thành nghĩa vụ huế,giấy xác nhận hoàn thành nghĩa vụ thuế
thảm định nguồn vốn,thẩm định nguồn vốn
cân đoối vốn dự án,cân đối vốn dự án
đầu tư hệ thlóngphòng cháy chữa cháy,đầu tư hệ thống phòng cháy chữa cháy
dạy văn hóa dạy nghề,dạy văn hóa dạy nghề
truung tâm giáo dục thường xuyên,trung tâm giáo dục thường xuyên
chấm dứt hợp đồnng,chấm dứt hợp đồng
cải tạo tổ chứ giao thông,cải tạo tổ chức giao thông
kinh phí trợ câap thôi việc,kinh phí trợ cấp thôi việc
sở thw pháp,sở tư pháp
hội văn học nghệ thuât,hội văn học nghệ thuật
hộ gi đình,hộ gia đình
căn hoj chung cư,căn hộ chung cư
khuu dân cư,khu dân cư
dự wsn khu nhà ở,dự án khu nhà ở
thanh toán kinh phjs,thanh toán kinh phí
dự tosn kinh phí,dự toán kinh phí
kinh phí chi trợ cấp,kinh phí chi trợ cấp
hồ sơ địa chính,hồ sơ địa chính
gio thông quốc lộ 1,giao thông quốc lộ 1
sây dựng đường song hành cao tốc,xây dựng đường song hành cao tốc
dịch vụ hànhh chính công,dịch vụ hành chính công
bảo vệ kết cấu hạ tàng giao thpong đường bộ,bảo vệ kết cấu hạ tầng giao thông đường bộ
dự zsn cải tao thay thế thiết bị trạm 500kv,dự án cải tạo thay thế thiết bị trạm 500kv
sổ sách kế toqsn,sổ sách kế toán
giá trị tài sản cố định,giá trị tài sản cố định
tăng vốn đièu lệ của quỹ phát triển nhà ở,tăng vốn điều lệ của quỹ phát triển nhà ở
quỹ phát triển nà ở,quỹ phát triển nhà ở
twsi định cư,tái định cư
bồi thuường giải phóng mặt bằng,bồi thường giải phóng mặt bằng
phòng cảnh szst phòng cháy chữa cháy,phòng cảnh sát phòng cháy chữa cháy
thẩm định giá đấr,thẩm định giá đất
đwn xin thu hồi đất,đơn xin thu hồi đất
công ty cổ phầnđầu tư,công ty cổ phần đầu tư
tông tin và truyền thông,thông tin và truyền thông
mục tiêu quốc gia,mục tiêu quốc gia
giảm nghrfo bền vững giai đoạn 2016-2020,giảm nghèo bền vững giai đoạn 2016-2020
công tác lựâ chọn nhà thầu,công tác lựa chọn nhà thầu
giải xe đạp toan quốc,giải xe đạp toàn quốc
hồ sơ nhà đất,hồ sơ nhà đất
xây dựn nông thôn mới,xây dựng nông thôn mới
hopx trợ lãi suất,hỗ trợ lãi suất
giải quyết khiếu nại tió cáo,giải quyết khiếu nại tố cáo
quy định quản ly tài chính,quy định quản lý tài chính
dự thảo nghị định,dự thảo nghị định
nghị đinh số 93/2009/nđ-cp,nghị định số 93/2009/nđ-cp
các dự án có vận edộng dân iến đất,các dự án có vận động dân hiến đất
công trình dịch vj,công trình dịch vụ
tiện ích colng cộng,tiện ích công cộng
chậm quyết toá vốn đầu tư,chậm quyết toán vốn đầu tư
dự án sử dụg vốn ngân sách nà nước,dự án sử dụng vốn ngân sách nhà nước
torng công ty cơ khí giao thông vậjn tải,tổng công ty cơ khí giao thông vận tải
sưda đổi bổ sung các quy định liên quuan đến đất đai xây dựng nhà ở đầu tw và kinh doanh,sửa đổi bổ sung các quy định liên quan đến đất đai xây dựng nhà ở đầu tư và kinh doanh
ngày hội quốc phhòng toàn dân,ngày hội quốc phòng toàn dân
giải quyết tranh hấp khiếu nại,giải quyết tranh chấp khiếu nại
kế oạch phân bổ vốn thanh toan các gói thầu,kế hoạch phân bổ vốn thanh toán các gói thầu
cải tạo hệ thống thoát nưpwsc,cải tạo hệ thống thoát nước
nghị định về quản lý hoậ động hàng hải,nghị định về quản lý hoạt động hàng hải
cấp giấy phép cho xe chăm sóc cong viên cây xanh,cấp giấy phép cho xe chăm sóc công viên cây xanh
trung tâm quản lú dường hầm sông sài gòn,trung tâm quản lý đường hầm sông sài gòn
sửa chữa nazng cấp cầu nhị thiên đường 1,sửa chữa nâng cấp cầu nhị thiên đường 1
hận chế phương tiện giao thông thủy,hạn chế phương tiện giao thông thủy
kkế hoạch đầu tư công năm 2017,kế hoạch đầu tư công năm 2017
điều kiệnkinh doânh khai thác cảng biển,điều kiện kinh doanh khai thác cảng biển
chưwơng trình huy động vốn,chương trình huy động vốn
trường mâmm non công lập,trường mâm non công lập
ngưofi nộp thuếs không hoạt động tại địa chỉ đã đăng ký,người nộp thuế không hoạt động tại địa chỉ đã đăng ký
anh mục các dwj án đầu tư công trung yạn giai đoạn 2016-2020,anh mục các dự án đầu tư công trung hạn giai đoạn 2016-2020
kê khai ổ sung,kê khai bổ sung
phương án xử lý nhà đất tại sos 70 đường nguyễn ttất thành,phương án xử lý nhà đất tại số 70 đường nguyễn tất thành
ắn mới đồng hồ nước,gắn mới đồng hồ nước
chuyển dịch cơ cấu nôn nghiệp,chuyển dịch cơ cấu nông nghiệp
nông nghiệp đôo thị,nông nghiệp đô thị
tá cơ cấu ngành nông nghiệp,tái cơ cấu ngành nông nghiệp
ủy quyền cung cấp yhông tin triyền hình,ủy quyền cung cấp thông tin truyền hình
văn phòng công cnứng,văn phòng công chứng
báo cáo gình hình dịch bệnh sôt xuất huyết,báo cáo tình hình dịch bệnh sốt xuất huyết
tieếp nhận khoản viện trợ pho dự án,tiếp nhận khoản viện trợ phi dự án
xây dựng cầu vượ,xây dựng cầu vượt
hệ thống xử lý nước thải tại bệnh viện huyện cần gioè,hệ thống xử lý nước thải tại bệnh viện huyện cần giờ
trển khai nghị định số 145/2016/nđ-cp,triển khai nghị định số 145/2016/nđ-cp
báo cáokết quả công tác tổ chức nhà nước năm 2016,báo cáo kết quả công tác tổ chức nhà nước năm 2016
lấsn chiếm đất,lấn chiếm đất
phương án xử lý nhà đất,phương án xử lý nhà đất
sửa chữa đảm bảo giao tôn quốc lộ 1,sửa chữa đảm bảo giao thông quốc lộ 1
trung tâm thực hành ho người khuyết tật và trẻ mồ côi,trung tâm thực hành cho người khuyết tật và trẻ mồ côi
người khuyết twạt,người khuyết tật
trẻ mồ côoi,trẻ mồ côi
điều kiện bồfi thường,điều kiện bồi thường
đdại lộ đông tây,đại lộ đông tây
khaii thác khoáng sản,khai thác khoáng sản
tiến độ bbồi thường,tiến độ bồi thường
hỗ trợ tái đjjnh cư của các dự án trên địa bàn thhành phố,hỗ trợ tái định cư của các dự án trên địa bàn thành phố
hợp tác sã,hợp tác xã
án bộ công nhân viên,cán bộ công nhân viên
phê duyeệt đơn giá đất,phê duyệt đơn giá đất
bồi thường giải phóng mặt bằng,bồi thường giải phóng mặt bằng
tỉnh lộ 8,tỉnh lộ 8
phổ biến giáo dục pháp luajt,phổ biến giáo dục pháp luật
kiểm traxử lyz vi phạm môi trường,kiểm tra xử lý vi phạm môi trường
xử lý nuước ngầm,xử lý nước ngầm
chứng nhận deăng ký thế chấp,chứng nhận đăng ký thế chấp
tập kést rác vật liệu xây dựng,tập kết rác vật liệu xây dựng
thuế bảo vệ môi truqờng,thuế bảo vệ môi trường
khu công nghệ cao,khu công nghệ cao
frung tâm logítics,trung tâm logistics
dư án khu công nghệ cao,dự án khu công nghệ cao
khu đô thị mớii thủ thiêm,khu đô thị mới thủ thiêm
văn phòng chiính phủ,văn phòng chính phủ
báo cáo rà soát sắp xếp cơ sở giáp dụv nghề nghiệp,báo cáo rà soát sắp xếp cơ sở giáo dục nghề nghiệp
nguồn vlón ủy quyền,nguồn vốn ủy quyền
sanh mục các công trình sử dụng nguồn vốn ủy quuyền năm 2017,danh mục các công trình sử dụng nguồn vốn ủy quyền năm 2017
cung vấp thông tin nhà đất,cung cấp thông tin nhà đất
đầu tư nâng cấp và vaận hành cáf trạm y tế,đầu tư nâng cấp và vận hành các trạm y tế
phương tiejn chưa có giá tísnh lệ phí trước bạ,phương tiện chưa có giá tính lệ phí trước bạ
công trình đườn sắt đô rhị thành phố hồ chí minh,công trình đường sắt đô thị thành phố hồ chí minh
dự án cai thiện môi trường nước,dự án cải thiện môi trường nước
dự án cải thiện hệ thống thoát nuơwsc,dự án cải thiện hệ thống thoát nước
dự án tái định cư giải phóng mặt bafng,dự án tái định cư giải phóng mặt bằng
báo cáo về chi tiêu quy hoạch kieến trúc,báo cáo về chỉ tiêu quy hoạch kiến trúc
dự ánđầu tư xây dựng khu nhà ởr,dự án đầu tư xây dựng khu nhà ở
trường trung học cơ soqr,trường trung học cơ sở
trường trung ọc phổ thông,trường trung học phổ thông
bán đấ giá quyền mua cổ phiếu,bán đấu giá quyền mua cổ phiếu
chức năng sử dụngđất,chức năng sử dụng đất
chỉ tiêu quy hoạch kiến trúc,chỉ tiêu quy hoạch kiến trúc
hồ sơ thiết kế cơ ssở hạg mục hạ tầng kỹ thuật,hồ sơ thiết kế cơ sở hạng mục hạ tầng kỹ thuật
hạng mụ hạ tầng kỹ thuật,hạng mục hạ tầng kỹ thuật
các hương án kiến trúc cầu bộ hành trên địa bàn thành phôa,các phương án kiến trúc cầu bộ hành trên địa bàn thành phố
caấp chứng chỉ quy hoạch,cấp chứng chỉ quy hoạch
cổng thôbg tin điện tử thành phố,cổng thông tin điện tử thành phố
dự án xây dựng trụ sở sở khoa học và cônng nghệ,dự án xây dựng trụ sở sở khoa học và công nghệ
dò tìm xử lý bom mìn vậttnổ,dò tìm xử lý bom mìn vật nổ
đề uất được là nhà thầy thi công,đề xuất được là nhà thầu thi công
lắpđặt dải phân cách bê tông,lắp đặt dải phân cách bê tông
phát triển hệ thống cảng cạm,phát triển hệ thống cảng cạn
kết luậj thanh tra mua sắm tang thiết bị,kết luận thanh tra mua sắm trang thiết bị
đầu tư tổng thể dự ãn chỉnh trang khu vực chung cư,đầu tư tổng thể dự án chỉnh trang khu vực chung cư
kinh phí đảm bảo trậtt tự an tờn giao thông năm 2016,kinh phí đảm bảo trật tự an toàn giao thông năm 2016
mất an toàn giao thông trongquá trình thi công công trình,mất an toàn giao thông trong quá trình thi công công trình
mức lhwơng công nhật,mức lương công nhật
hội khoanọc kỹ thuật cơ khí thành phố hồ chí minh,hội khoa học kỹ thuật cơ khí thành phố hồ chí minh
khiếu nại về uủy kết quả đấu thầu sai nguyên tăc,khiếu nại về hủy kết quả đấu thầu sai nguyên tắc
xin sywr dụng khu đất,xin sử dụng khu đất
tthu hồi nợ thuế,thu hồi nợ thuế
xây dựng công trình phụ trkwj,xây dựng công trình phụ trợ
xửr lý các tồn tại trongquá trình tái lập mặt đường,xử lý các tồn tại trong quá trình tái lập mặt đường
việc xin phép tiến hhành nghiên cứu,việc xin phép tiến hành nghiên cứu
hướng dẫn nộp hồ só,hướng dẫn nộp hồ sơ
phê duyệt đềf án thành lập trung tâm giảm nghèo đa chiefu,phê duyệt đề án thành lập trung tâm giảm nghèo đa chiều
danh mục các dự an cần thu hồi đất,danh mục các dự án cần thu hồi đất
danh mục dự án cóssử dụng đất lúa đất rừng,danh mục dự án có sử dụng đất lúa đất rừng
chuyển hình thưwsc sử dụng đất sang thuê đất trả ttiền một lần,chuyển hình thức sử dụng đất sang thuê đất trả tiền một lần
xâay dựng hệ thống cống bwo và nhà máy xử lý nước thải tậ trung,xây dựng hệ thống cống bao và nhà máy xử lý nước thải tập trung
đề nghị giao đất để sử dụng vào mục đích quosc phòng,đề nghị giao đất để sử dụng vào mục đích quốc phòng
bộ tư lệnh thông tinliên lạc,bộ tư lệnh thông tin liên lạc
chuyển mục đích sử dụng đât,chuyển mục đích sử dụng đất
cấp giấyy phép qquy hoạch đối với khu đất số 8/6,cấp giấy phép quy hoạch đối với khu đất số 8/6
cân đối đối quỹ nhà đấ,cân đối đối quỹ nhà đất
bố trítái định cư,bố trí tái định cư
cấp phép thi công giaii đoạn 1,cấp phép thi công giai đoạn 1
chísnh sách hỗ trợ lãi vay theo quyế định số 04/2016/qđ-ubnd ngày 23/02/2016,chính sách hỗ trợ lãi vay theo quyết định số 04/2016/qđ-ubnd ngày 23/02/2016
đà tạo nghề cho lao độg nông thôn,đào tạo nghề cho lao động nông thôn
thực hiiện duj án giải quyết ngập do triều,thực hiện dự án giải quyết ngập do triều
khắc phục tình hìbh sạtt lở bờ sông,khắc phục tình hình sạt lở bờ sông
sử dụng vốn vay oda khôn hoàn lại của chính phủ hàn quốc,sử dụng vốn vay oda không hoàn lại của chính phủ hàn quốc
kết quả thẩm tradanh sách tinh girn biên chế,kết quả thẩm tra danh sách tinh giản biên chế
thông báo bỏ địa chỉ kinh doạh,thông báo bỏ địa chỉ kinh doanh
báo cáo thống kê tokrng hợp ngành giao thông vaận tải năm 2016,báo cáo thống kê tổng hợp ngành giao thông vận tải năm 2016
bấo fáo tổng kết công tác thanh tra kiểm tra,báo cáo tổng kết công tác thanh tra kiểm tra
báo cáo công tác tếpp dân khiếu nại tố cáo và phong chống tham nhũng năm 2016,báo cáo công tác tiếp dân khiếu nại tố cáo và phòng chống tham nhũng năm 2016
công tác xây dựng quyy hoạch phát triển ngành thwơng mại,công tác xây dựng quy hoạch phát triển ngành thương mại
thực hiện nghĩ vụ tài chính,thực hiện nghĩa vụ tài chính
công tác kiểm định công ttrình,công tác kiểm định công trình
đề nghị chấ thuận chủ trương đầu ttư,đề nghị chấp thuận chủ trương đầu tư
công nhận chủ đầu tư dự án khhu phức bợp thương mại dịch vvụ văn phòng căn hộ,công nhận chủ đầu tư dự án khu phức hợp thương mại dịch vụ văn phòng căn hộ
công ty cổ phàn đầu tư bà xây dựng 40,công ty cổ phần đầu tư và xây dựng 40
chuyển giao chủ đầu tư ự án,chuyển giao chủ đầu tư dự án
khấu trừ tiền bồi tường,khấu trừ tiền bồi thường
kinh doanh xăng dầu trên địa bbàn thfnh phố,kinh doanh xăng dầu trên địa bàn thành phố
bản giao dự toán ngân sách nhà nưkwsc năm 2017,bàn giao dự toán ngân sách nhà nước năm 2017
hệ số sử dụnng đất,hệ số sử dụng đất
tờ trình fự thảo quyết định bổr nhiệm,tờ trình dự thảo quyết định bổ nhiệm
chuyển gkao công nghệ,chuyển giao công nghệ
triển khai ứng dụng công nghệj hông tin,triển khai ứng dụng công nghệ thông tin
báo cáo kế hoạch thi cong côong trình,báo cáo kế hoạch thi công công trình
phương án tthoái vốn của tổng công ty văn hóa sài gòn,phương án thoái vốn của tổng công ty văn hóa sài gòn
chấp thuájn chủ trương đầu tư,chấp thuận chủ trương đầu tư
điều chỉnh chỉ tiêu qy hoạch kiến trúc,điều chỉnh chỉ tiêu quy hoạch kiến trúc
sưwra chữa nâng cấp đường,sửa chữa nâng cấp đường
hồ sơ đề nghị cấp giấsy phép kinh doanh,hồ sơ đề nghị cấp giấy phép kinh doanh
đề xuất cấp pép thi công ông trình,đề xuất cấp phép thi công công trình
an toàn vệ sinh lao đoịng,an toàn vệ sinh lao động
phúc đáp phản ánh của báo ngườilao dộng,phúc đáp phản ánh của báo người lao động
dịch vụ cong íc thanh niên xung phong,dịch vụ công ích thanh niên xung phong
quy chế quản lý tagi chính,quy chế quản lý tài chính
báo cáo công tác dân vận của cơ quan hadnh chiính nhà nước,báo cáo công tác dân vận của cơ quan hành chính nhà nước
cơ soả tôn giáo,cơ sở tôn giáo
bộ tư lệny thành phố,bộ tư lệnh thành phố
công nhận quyền sử dụng đất tôn giáo,công nhận quyền sử dụng đất tôn giáo
kieetm tra giásm sát công tác gia đình năm 2016,kiểm tra giám sát công tác gia đình năm 2016
đình chỉ giải qquyết khiếu nại,đình chỉ giải quyết khiếu nại
bổ sung dự toán naăm 2016,bổ sung dự toán năm 2016
công tác thanh niên năm 2016,công tác thanh niên năm 2016
